Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
532134,,BANKBARODA,BANK OF BARODA,Active,A ,2.00,INE028A01039,Banks,Equity
532144,,WELCORP,Welspun Corp Limited,Active,A ,5.00,INE191B01025,Construction & Engineering,Equity
532149,,BANKINDIA,BANK OF INDIA,Active,A ,10.00,INE084A01016,Banks,Equity
532155,,GAIL,GAIL (INDIA) LTD.,Active,A ,10.00,INE129A01019,Utilities:Non-Elec.,Equity
532156,,VAIBHAVGBL,Vaibhav Global Ltd,Active,A ,10.00,INE884A01019,Other Apparels & Accessories,Equity
532162,,JKPAPER,JK PAPER LTD.,Active,A ,10.00,INE789E01012,Paper & Paper Products,Equity
532163,,SAREGAMA,SAREGAMA INDIA LTD.,Active,A ,10.00,INE979A01017,Movies & Entertainment,Equity
532174,,ICICIBANK,ICICI BANK LTD.,Active,A ,2.00,INE090A01021,Banks,Equity
532175,,CYIENT,Cyient Limited,Active,A ,5.00,INE136B01020,IT Consulting & Software,Equity
532178,,ENGINERSIN,ENGINEERS INDIA LTD.,Active,A ,5.00,INE510A01028,Consulting Services,Equity
532181,,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,Active,A ,2.00,INE131A01031,Coal,Equity
532187,,INDUSINDBK,INDUSIND BANK LTD.,Active,A ,10.00,INE095A01012,Banks,Equity
532189,,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LTD.,Active,A ,10.00,INE353K01014,Hotels,Equity
532209,,J&KBANK,JAMMU & KASHMIR BANK LTD.,Active,A ,1.00,INE168A01041,Banks,Equity
532210,,CUB,CITY UNION BANK LTD.,Active,A ,1.00,INE491A01021,Banks,Equity
532215,,AXISBANK,AXIS BANK LTD.,Active,A ,2.00,INE238A01034,Banks,Equity
532218,,SOUTHBANK,SOUTH INDIAN BANK LTD.,Active,A ,1.00,INE683A01023,Banks,Equity
532221,,SONATSOFTW,SONATA SOFTWARE LTD.,Active,A ,1.00,INE269A01021,IT Consulting & Software,Equity
532234,,NATIONALUM,NATIONAL ALUMINIUM CO.LTD.,Active,A ,5.00,INE139A01034,Aluminium,Equity
532259,,APARINDS,APAR INDUSTRIES LTD.,Active,A ,10.00,INE372A01015,Other Elect.Equip./ Prod.,Equity
532268,,ACCELYA,Accelya Solutions India Ltd,Active,A ,10.00,INE793A01012,IT Consulting & Software,Equity
532281,,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2.00,INE860A01027,IT Consulting & Software,Equity
532286,,JINDALSTEL,JINDAL STEEL & POWER LTD.,Active,A ,1.00,INE749A01030,Iron & Steel/Interm.Products,Equity
532296,,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,Active,A ,1.00,INE935A01035,Pharmaceuticals,Equity
532300,,WOCKPHARMA,WOCKHARDT LTD.,Active,A ,5.00,INE049B01025,Pharmaceuticals,Equity
532301,,TATACOFFEE,TATA COFFEE LTD.,Active,A ,1.00,INE493A01027,Tea & Coffee,Equity
532309,,GEPIL,GE Power India Ltd,Active,A ,10.00,INE878A01011,Heavy Electrical Equipment,Equity
532313,,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LTD.,Active,A ,10.00,INE813A01018,Realty,Equity
532321,,CADILAHC,CADILA HEALTHCARE LTD.,Active,A ,1.00,INE010B01027,Pharmaceuticals,Equity
532331,,AJANTPHARM,AJANTA PHARMA LTD.,Active,A ,2.00,INE031B01049,Pharmaceuticals,Equity
532343,,TVSMOTOR,TVS MOTOR COMPANY LTD.,Active,A ,1.00,INE494B01023,2/3 Wheelers,Equity
532345,,GATI,GATI LTD.,Active,A ,2.00,INE152B01027,Transportation - Logistics,Equity
532349,,TCI,TRANSPORT CORPORATION OF INDIA LTD.,Active,A ,2.00,INE688A01022,Surface Transportation,Equity
532356,,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD.,Active,A ,1.00,INE256C01024,Sugar,Equity
532369,,RAMCOIND,RAMCO INDUSTRIES LTD.,Active,A ,1.00,INE614A01028,Construction Materials,Equity
532370,,RAMCOSYS,RAMCO SYSTEMS LTD.,Active,A ,10.00,INE246B01019,IT Consulting & Software,Equity
532374,,STLTECH,STERLITE TECHNOLOGIES LTD.,Active,A ,2.00,INE089C01029,Other Telecom Services,Equity
532382,,BALAJITELE,BALAJI TELEFILMS LTD.,Active,A ,2.00,INE794B01026,Broadcasting & Cable TV,Equity
532388,,IOB,INDIAN OVERSEAS BANK,Active,A ,10.00,INE565A01014,Banks,Equity
532390,,TAJGVK,TAJGVK HOTELS & RESORTS LTD.,Active,A ,2.00,INE586B01026,Hotels,Equity
532400,,BSOFT,Birlasoft Ltd,Active,A ,2.00,INE836A01035,IT Consulting & Software,Equity
532424,,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,Active,A ,1.00,INE102D01028,Personal Products,Equity
532430,,BFUTILITIE,BF UTILITIES LTD.-$,Active,A ,5.00,INE243D01012,Electric Utilities,Equity
532443,,CERA,CERA SANITARYWARE LTD.,Active,A ,5.00,INE739E01017,Furniture-Furnishing-Paints,Equity
532454,,BHARTIARTL,BHARTI AIRTEL LTD.,Active,A ,5.00,INE397D01024,Telecom Services,Equity
532461,,PNB,PUNJAB NATIONAL BANK,Active,A ,2.00,INE160A01022,Banks,Equity
532466,,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Active,A ,5.00,INE881D01027,IT Consulting & Software,Equity
532468,,KAMAHOLD,Kama Holdings Limited-$,Active,A ,10.00,INE411F01010,Holding Companies,Equity
532475,,APTECHT,APTECH LTD.,Active,A ,10.00,INE266F01018,IT Training Services,Equity
532477,,UNIONBANK,UNION BANK OF INDIA,Active,A ,10.00,INE692A01016,Banks,Equity
532478,,UBL,UNITED BREWERIES LTD.-$,Active,A ,1.00,INE686F01025,Breweries & Distilleries,Equity
532482,,GRANULES,GRANULES INDIA LTD.-$,Active,A ,1.00,INE101D01020,Pharmaceuticals,Equity
532483,,CANBK,CANARA BANK,Active,A ,10.00,INE476A01014,Banks,Equity
532488,,DIVISLAB,DIVI&#39;S LABORATORIES LTD.,Active,A ,2.00,INE361B01024,Pharmaceuticals,Equity
532493,,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,Active,A ,2.00,INE386C01029,Defence,Equity
532497,,RADICO,RADICO KHAITAN LTD.,Active,A ,2.00,INE944F01028,Breweries & Distilleries,Equity
532498,,SHRIRAMCIT,SHRIRAM CITY UNION FINANCE LTD.,Active,A ,10.00,INE722A01011,Finance (including NBFCs),Equity
532500,,MARUTI,MARUTI SUZUKI INDIA LTD.,Active,A ,5.00,INE585B01010,Cars & Utility Vehicles,Equity
532504,,NAVINFLUOR,Navin Fluorine International Limited-$,Active,A ,2.00,INE048G01026,Commodity Chemicals,Equity
532505,,UCOBANK,UCO BANK,Active,A ,10.00,INE691A01018,Banks,Equity
532508,,JSL,JINDAL STAINLESS LTD.,Active,A ,2.00,INE220G01021,Iron & Steel/Interm.Products,Equity
532509,,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$,Active,A ,1.00,INE399C01030,Auto Parts & Equipment,Equity
532514,,IGL,INDRAPRASTHA GAS LTD.,Active,A ,2.00,INE203G01027,Utilities:Non-Elec.,Equity
532515,,TVTODAY,TV TODAY NETWORK LTD.,Active,A ,5.00,INE038F01029,Broadcasting & Cable TV,Equity
532522,,PETRONET,PETRONET LNG LTD.,Active,A ,10.00,INE347G01014,Oil Marketing & Distribution,Equity
532523,,BIOCON,BIOCON LTD.,Active,A ,5.00,INE376G01013,Biotechnology,Equity
532524,,PTC,PTC INDIA LTD.,Active,A ,10.00,INE877F01012,Electric Utilities,Equity
532525,,MAHABANK,BANK OF MAHARASHTRA,Active,A ,10.00,INE457A01014,Banks,Equity
532527,,RKFORGE,RAMKRISHNA FORGINGS LTD.,Active,A ,10.00,INE399G01015,Other Industrial Products,Equity
532531,,STAR,Strides Pharma Science Ltd,Active,A ,10.00,INE939A01011,Pharmaceuticals,Equity
532532,,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD.,Active,A ,2.00,INE455F01025,Construction & Engineering,Equity
532538,,ULTRACEMCO,ULTRATECH CEMENT LTD.,Active,A ,10.00,INE481G01011,Cement & Cement Products,Equity
532539,,MINDAIND,MINDA INDUSTRIES LTD.-$,Active,A ,2.00,INE405E01023,Auto Parts & Equipment,Equity
532540,,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A ,1.00,INE467B01029,IT Consulting & Software,Equity
532541,,COFORGE,Coforge Ltd,Active,A ,10.00,INE591G01017,IT Consulting & Software,Equity
532548,,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.-$,Active,A ,1.00,INE348B01021,Forest Products,Equity
532553,,WELENT,Welspun Enterprises Ltd,Active,A ,10.00,INE625G01013,Construction & Engineering,Equity
532555,,NTPC,NTPC LTD.,Active,A ,10.00,INE733E01010,Electric Utilities,Equity
532610,,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,A ,1.00,INE366A01041,Sugar,Equity
532612,,INDOCO,INDOCO REMEDIES LTD.,Active,A ,2.00,INE873D01024,Pharmaceuticals,Equity
532622,,GDL,GATEWAY DISTRIPARKS LTD.,Active,A ,10.00,INE852F01015,Transportation - Logistics,Equity
532636,,IIFL,IIFL Finance Ltd,Active,A ,2.00,INE530B01024,Other Financial Services,Equity
532638,,SHOPERSTOP,SHOPPERS STOP LTD.,Active,A ,5.00,INE498B01024,Department Stores,Equity
532642,,JSWHL,JSW Holdings Limited,Active,A ,10.00,INE824G01012,Holding Companies,Equity
532644,,JKCEMENT,J.K.CEMENT LTD.,Active,A ,10.00,INE823G01014,Cement & Cement Products,Equity
532648,,YESBANK,YES BANK LTD.,Active,A ,2.00,INE528G01035,Banks,Equity
532652,,KTKBANK,KARNATAKA BANK LTD.,Active,A ,10.00,INE614B01018,Banks,Equity
532659,,IDFC,IDFC LIMITED,Active,A ,10.00,INE043D01016,Finance (including NBFCs),Equity
532663,,SASKEN,Sasken Technologies Ltd,Active,A ,10.00,INE231F01020,IT Consulting & Software,Equity
532667,,SUZLON,SUZLON ENERGY LTD.,Active,A ,2.00,INE040H01021,Heavy Electrical Equipment,Equity
532683,,AIAENG,AIA ENGINEERING LTD.,Active,A ,2.00,INE212H01026,Other Industrial Goods,Equity
532689,,PVR,PVR LTD.,Active,A ,10.00,INE191H01014,Specialty Retail,Equity
532702,,GSPL,GUJARAT STATE PETRONET LTD.,Active,A ,10.00,INE246F01010,Utilities:Non-Elec.,Equity
532705,,JAGRAN*,JAGRAN PRAKASHAN LTD.,Active,A ,2.00,INE199G01027,Publishing,Equity
532706,,INOXLEISUR,INOX LEISURE LTD.,Active,A ,10.00,INE312H01016,Specialty Retail,Equity
532710,,SADBHAV,SADBHAV ENGINEERING LTD.,Active,A ,1.00,INE226H01026,Construction & Engineering,Equity
532714,,KEC,KEC INTERNATIONAL LTD.,Active,A ,2.00,INE389H01022,Heavy Electrical Equipment,Equity
532720,,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,Active,A ,2.00,INE774D01024,Finance (including NBFCs),Equity
532725,,SOLARINDS,SOLAR INDUSTRIES INDIA LTD.,Active,A ,2.00,INE343H01029,Specialty Chemicals,Equity
532733,,SUNTV,SUN TV NETWORK LTD.,Active,A ,5.00,INE424H01027,Broadcasting & Cable TV,Equity
532734,,GPIL,GODAWARI POWER & ISPAT LTD.,Active,A ,10.00,INE177H01013,Iron & Steel/Interm.Products,Equity
532735,,RSYSTEMINT,R Systems International Limited,Active,A ,1.00,INE411H01032,IT Consulting & Software,Equity
532749,,ALLCARGO,ALLCARGO LOGISTICS LTD.,Active,A ,2.00,INE418H01029,Transportation - Logistics,Equity
532754,,GMRINFRA,GMR INFRASTRUCTURE LTD.,Active,A ,1.00,INE776C01039,Airport Services,Equity
532755,,TECHM,TECH MAHINDRA LTD.,Active,A ,5.00,INE669C01036,IT Consulting & Software,Equity
532756,,MAHINDCIE,Mahindra CIE Automotive Limited,Active,A ,10.00,INE536H01010,Other Industrial Products,Equity
532757,,VOLTAMP,VOLTAMP TRANSFORMERS LTD.,Active,A ,10.00,INE540H01012,Heavy Electrical Equipment,Equity
532762,,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,Active,A ,2.00,INE731H01025,Transport Related Services,Equity
532772,,DCBBANK,DCB Bank Limited,Active,A ,10.00,INE503A01015,Banks,Equity
532777,,NAUKRI,INFO EDGE (INDIA) LTD.,Active,A ,10.00,INE663F01024,Internet & Catalogue Retail,Equity
532779,,TORNTPOWER,TORRENT POWER LTD.,Active,A ,10.00,INE813H01021,Electric Utilities,Equity
532783,,DAAWAT,LT FOODS LTD.,Active,A ,1.00,INE818H01020,Packaged Foods,Equity
532784,,SOBHA,Sobha Limited,Active,A ,10.00,INE671H01015,Realty,Equity
532798,,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LTD.,Active,A ,5.00,INE870H01013,Advertising & Media,Equity
532800,,TV18BRDCST,TV18 BROADCAST LTD.,Active,A ,2.00,INE886H01027,Broadcasting & Cable TV,Equity
532805,,REDINGTON,REDINGTON (INDIA) LTD.,Active,A ,2.00,INE891D01026,Comm.Trading  & Distribution,Equity
532809,,FSL,FIRSTSOURCE SOLUTIONS LTD.,Active,A ,10.00,INE684F01012,BPO/KPO,Equity
532810,,PFC,POWER FINANCE CORPORATION LTD.,Active,A ,10.00,INE134E01011,Finance (including NBFCs),Equity
532811,,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.00,INE758C01029,Realty,Equity
532814,,INDIANB,INDIAN BANK,Active,A ,10.00,INE562A01011,Banks,Equity
532819,,MINDTREE,MINDTREE LTD.,Active,A ,10.00,INE018I01017,IT Consulting & Software,Equity
532822,,IDEA,Vodafone Idea Ltd,Active,A ,10.00,INE669E01016,Telecom Services,Equity
532827,,PAGEIND,PAGE INDUSTRIES LTD.,Active,A ,10.00,INE761H01022,Other Apparels & Accessories,Equity
532830,,ASTRAL,ASTRAL POLY TECHNIK LTD.,Active,A ,1.00,INE006I01046,Plastic Products,Equity
532832,,IBREALEST,INDIABULLS REAL ESTATE LTD.,Active,A ,2.00,INE069I01010,Realty,Equity
532834,,CAMLINFINE,CAMLIN FINE SCIENCES LTD.,Active,A ,1.00,INE052I01032,Specialty Chemicals,Equity
532835,,ICRA,ICRA LTD.,Active,A ,10.00,INE725G01011,Other Financial Services,Equity
532839,,DISHTV,DISH TV INDIA LTD.,Active,A ,1.00,INE836F01026,Broadcasting & Cable TV,Equity
532843,,FORTIS,FORTIS HEALTHCARE LTD.,Active,A ,10.00,INE061F01013,Healthcare Facilities,Equity
532848,,DELTACORP,DELTA CORP LTD.,Active,A ,1.00,INE124G01033,Diversified Commercial Services,Equity
532851,,INSECTICID,INSECTICIDES (INDIA) LTD.,Active,A ,10.00,INE070I01018,Agrochemicals,Equity
532856,,TIMETECHNO,TIME TECHNOPLAST LTD.,Active,A ,1.00,INE508G01029,Plastic Products,Equity
532859,,HGS,HINDUJA GLOBAL SOLUTIONS LTD.,Active,A ,10.00,INE170I01016,BPO/KPO,Equity
532865,,MEGH,MEGHMANI ORGANICS LTD.,Active,A ,1.00,INE974H01013,Specialty Chemicals,Equity
532868,,DLF,DLF LTD.,Active,A ,2.00,INE271C01023,Realty,Equity
532872,,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,Active,A ,1.00,INE232I01014,Pharmaceuticals,Equity
532880,,OMAXE,OMAXE LTD.,Active,A ,10.00,INE800H01010,Realty,Equity
532885,,CENTRALBK,CENTRAL BANK OF INDIA,Active,A ,10.00,INE483A01010,Banks,Equity
532888,,ASIANTILES,ASIAN GRANITO INDIA LTD.,Active,A ,10.00,INE022I01019,Furniture-Furnishing-Paints,Equity
532889,,KPRMILL,K.P.R. Mill Limited,Active,A ,5.00,INE930H01023,Textiles,Equity
532890,,TAKE,TAKE SOLUTIONS LTD.,Active,A ,1.00,INE142I01023,Pharmaceuticals,Equity
532892,,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,Active,A ,1.00,INE338I01027,Finance (including NBFCs),Equity
532898,,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,Active,A ,10.00,INE752E01010,Electric Utilities,Equity
532899,,KSCL,KAVERI SEED COMPANY LTD.,Active,A ,2.00,INE455I01029,Other Agricultural Products,Equity
532900,,PAISALO,Paisalo Digital Ltd,Active,A ,10.00,INE420C01042,Finance (including NBFCs),Equity
532915,,RELIGARE,RELIGARE ENTERPRISES LTD.,Active,A ,10.00,INE621H01010,Other Financial Services,Equity
532921,,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2.00,INE742F01042,Marine Port & Services,Equity
532922,,EDELWEISS,Edelweiss Financial Services Ltd.,Active,A ,1.00,INE532F01054,Other Financial Services,Equity
532924,,KOLTEPATIL,KOLTE-PATIL DEVELOPERS LTD.,Active,A ,10.00,INE094I01018,Realty,Equity
532926,,JYOTHYLAB,Jyothy Labs Ltd,Active,A ,1.00,INE668F01031,Household Products,Equity
532927,,ECLERX,ECLERX SERVICES LTD.,Active,A ,10.00,INE738I01010,BPO/KPO,Equity
532929,,BRIGADE,BRIGADE ENTERPRISES LTD.,Active,A ,10.00,INE791I01019,Realty,Equity
532939,,RPOWER,RELIANCE POWER LTD.,Active,A ,10.00,INE614G01033,Electric Utilities,Equity
532940,,JKIL,J.KUMAR INFRAPROJECTS LTD.,Active,A ,5.00,INE576I01022,Construction & Engineering,Equity
532942,,KNRCON,KNR CONSTRUCTIONS LTD.,Active,A ,2.00,INE634I01029,Construction & Engineering,Equity
532947,,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,Active,A ,10.00,INE821I01014,Roads & Highways,Equity
532953,,VGUARD,V-GUARD INDUSTRIES LTD.,Active,A ,1.00,INE951I01027,Other Elect.Equip./ Prod.,Equity
532955,,RECLTD,REC Ltd,Active,A ,10.00,INE020B01018,Finance (including NBFCs),Equity
532966,,TWL,TITAGARH WAGONS LTD.,Active,A ,2.00,INE615H01020,Commercial Vehicles,Equity
532967,,KIRIINDUS,KIRI INDUSTRIES LTD.,Active,A ,10.00,INE415I01015,Specialty Chemicals,Equity
532977,,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A ,10.00,INE917I01010,2/3 Wheelers,Equity
532978,,BAJAJFINSV,BAJAJ FINSERV LTD.,Active,A ,5.00,INE918I01018,Holding Companies,Equity
533023,,WABCOINDIA,WABCO INDIA LTD.,Active,A ,5.00,INE342J01019,Auto Parts & Equipment,Equity
533033,,ISGEC,ISGEC Heavy Engineering Ltd,Active,A ,1.00,INE858B01029,Industrial Machinery,Equity
533080,,MOLDTKPAC,Mold-Tek Packaging Limited,Active,A ,5.00,INE893J01029,Containers & Packaging,Equity
533088,,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,Active,A ,10.00,INE998I01010,Hotels,Equity
533096,,ADANIPOWER,ADANI POWER LTD.,Active,A ,10.00,INE814H01011,Electric Utilities,Equity
533098,,NHPC,NHPC LTD.,Active,A ,10.00,INE848E01016,Electric Utilities,Equity
533106,,OIL,OIL INDIA LTD.,Active,A ,10.00,INE274J01014,Exploration & Production,Equity
533137,,DEN,Den Networks Ltd,Active,A ,10.00,INE947J01015,Broadcasting & Cable TV,Equity
533138,,ASTEC,ASTEC LIFESCIENCES LIMITED,Active,A ,10.00,INE563J01010,Agrochemicals,Equity
533148,,JSWENERGY,JSW Energy Ltd,Active,A ,10.00,INE121E01018,Electric Utilities,Equity
533150,,GODREJPROP,Godrej Properties Ltd,Active,A ,5.00,INE484J01027,Realty,Equity
533151,,DBCORP,D B Corp Ltd,Active,A ,10.00,INE950I01011,Publishing,Equity
533155,,JUBLFOOD,Jubilant FoodWorks Ltd,Active,A ,10.00,INE797F01012,Restaurants,Equity
533162,,HATHWAY,Hathway Cable & Datacom Ltd,Active,A ,2.00,INE982F01036,Broadcasting & Cable TV,Equity
533179,,PERSISTENT,PERSISTENT SYSTEMS LTD.,Active,A ,10.00,INE262H01013,IT Consulting & Software,Equity
533206,,SJVN,SJVN Ltd,Active,A ,10.00,INE002L01015,Electric Utilities,Equity
533229,,BAJAJCON,Bajaj Consumer Care Ltd,Active,A ,1.00,INE933K01021,Personal Products,Equity
533248,,GPPL,GUJARAT PIPAVAV PORT LTD.,Active,A ,10.00,INE517F01014,Marine Port & Services,Equity
533269,,WABAG,VA TECH WABAG LTD.,Active,A ,2.00,INE956G01038,Utilities:Non-Elec.,Equity
